                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4939,                 2.6526,                 1.3337,                 0.0119,                0.90152,                0.31429,                0.18434,                 1.2039,                  2.857,                  1.346,                 0.0784,                 0.0024,                 0.0024
                      1,                 1.4916,                 1.8574,                 1.3441,                0.87355,                0.10469,                0.33704,                0.20225,                 1.3189,                 2.7104,                 1.4501,               0.055851,              0.0048515,              0.0048515
                      2,                 1.5488,                 1.7147,                 1.3751,                 0.7957,                0.27539,                0.46458,                0.25811,                 1.3899,                 2.3744,                  1.576,               0.033253,              0.0072535,              0.0072535
                      3,                 1.5335,                 1.6783,                 1.3731,                0.54636,                0.42275,                0.44844,                0.23572,                 1.5891,                 2.1513,                 1.6856,               0.010606,               0.009606,               0.009606
                      4,                 1.5788,                 1.7256,                 1.4159,                0.51244,                0.39394,                0.42651,                0.20283,                 1.7568,                 2.0409,                  1.869,               0.009604,               0.009604,               0.009604
                      5,                 1.5526,                 1.7332,                 1.4233,                  0.537,                0.44697,                0.45876,                0.20801,                 1.8629,                 2.0952,                 2.0055,               0.009604,               0.009604,               0.009604
                      6,                 1.5741,                 1.6872,                 1.4224,                0.40237,                0.38595,                0.34718,                0.14858,                  2.049,                 2.2152,                 2.1806,               0.009505,               0.009505,               0.009505
                      7,                 1.6464,                 1.7387,                 1.4795,                0.41511,                0.36111,                0.30197,                0.14287,                 1.9965,                 2.7269,                  2.172,               0.009406,               0.009406,               0.009406
                      8,                 1.5511,                 1.6273,                 1.4436,                0.42908,                0.36616,                 0.3324,                0.14687,                 2.0935,                  2.469,                 2.1969,               0.009307,               0.009307,               0.009307
                      9,                 1.6275,                 1.6333,                 1.4684,                0.48854,                0.41005,                0.40321,                0.18971,                 1.8942,                 2.3817,                 1.9262,               0.009208,               0.009208,               0.009208
                     10,                 1.6268,                 1.6473,                 1.4848,                0.46607,                0.37121,                0.33216,                0.14413,                 1.8078,                 2.7442,                 1.9697,               0.009109,               0.009109,               0.009109
                     11,                 1.5811,                 1.5815,                 1.4347,                0.42093,                0.33333,                0.29597,                0.13456,                 1.7991,                  2.454,                 1.9487,                0.00901,                0.00901,                0.00901
                     12,                  1.587,                  1.561,                 1.4482,                0.41678,                0.36111,                0.33705,                0.15738,                  1.928,                 2.1504,                 2.0565,               0.008911,               0.008911,               0.008911
                     13,                 1.5406,                 1.5151,                 1.4152,                0.52246,                0.41667,                0.38576,                0.17408,                 1.8988,                 2.0753,                 1.9717,               0.008812,               0.008812,               0.008812
                     14,                 1.5631,                 1.4752,                 1.4269,                0.54743,                0.42152,                0.42724,                0.21896,                 1.6893,                 1.9441,                 1.8425,               0.008713,               0.008713,               0.008713
                     15,                 1.6229,                 1.5847,                  1.475,                0.55359,                0.46973,                0.47832,                0.23074,                 1.7299,                 1.7711,                 1.8473,               0.008614,               0.008614,               0.008614
                     16,                 1.5417,                 1.4261,                 1.3924,                0.48665,                0.49495,                0.46895,                0.21742,                 1.8803,                 1.8169,                 1.8932,               0.008515,               0.008515,               0.008515
                     17,                 1.5245,                 1.4241,                 1.3978,                0.54859,                0.44192,                0.46143,                0.20991,                 1.8974,                 1.8763,                 1.9188,               0.008416,               0.008416,               0.008416
                     18,                  1.479,                 1.3978,                 1.3923,                0.59007,                0.41439,                0.47377,                0.20963,                 1.9545,                 1.9037,                 1.9991,               0.008317,               0.008317,               0.008317
                     19,                 1.5207,                 1.4099,                 1.3945,                 0.5103,                0.47475,                 0.4471,                0.20864,                  1.846,                 1.9466,                 1.9643,               0.008218,               0.008218,               0.008218
                     20,                 1.4831,                 1.3547,                 1.3639,                0.54801,                0.38636,                0.40819,                0.18582,                 1.9532,                 2.0328,                 2.0936,               0.008119,               0.008119,               0.008119
                     21,                 1.4752,                 1.3211,                 1.3634,                0.51044,                0.39141,                0.39849,                0.16871,                 2.1574,                 2.1096,                  2.218,                0.00802,                0.00802,                0.00802
                     22,                 1.4523,                 1.3242,                 1.3713,                0.45229,                0.35859,                0.34524,                0.16315,                 2.0666,                  2.172,                 2.0865,               0.007921,               0.007921,               0.007921
                     23,                 1.4991,                 1.3458,                 1.3865,                0.54878,                0.32248,                0.33074,                0.16207,                 1.8703,                 2.1393,                 1.9317,               0.007822,               0.007822,               0.007822
                     24,                 1.4759,                 1.3368,                 1.3477,                0.55549,                0.43939,                0.44479,                0.20862,                  1.894,                 1.9056,                 1.9743,               0.007723,               0.007723,               0.007723
                     25,                 1.4421,                 1.3109,                 1.3571,                0.50059,                0.37715,                 0.3812,                0.17849,                 1.9159,                 2.1655,                 2.0548,               0.007624,               0.007624,               0.007624
                     26,                  1.442,                 1.2764,                 1.3452,                0.50218,                0.43687,                0.41083,                0.20396,                 1.8349,                  2.204,                 1.9708,               0.007525,               0.007525,               0.007525
                     27,                 1.4523,                 1.2764,                 1.3403,                0.51054,                0.41162,                0.37006,                0.17824,                 1.8459,                 2.0696,                 1.9545,               0.007426,               0.007426,               0.007426
                     28,                 1.4115,                 1.2665,                 1.3309,                0.49049,                0.45459,                0.40603,                0.19912,                 1.8701,                 1.9092,                 1.9552,               0.007327,               0.007327,               0.007327
                     29,                 1.4149,                 1.2221,                 1.3175,                0.51344,                0.43939,                0.43115,                0.20547,                 1.8613,                 1.9338,                 1.9576,               0.007228,               0.007228,               0.007228
                     30,                 1.4149,                 1.2193,                 1.3106,                0.52004,                0.42424,                0.39703,                0.19003,                 1.9285,                 2.0063,                 2.0713,               0.007129,               0.007129,               0.007129
                     31,                 1.4169,                 1.2299,                 1.3389,                0.51623,                0.41162,                0.41495,                0.19742,                 1.8949,                 1.8257,                 1.9917,                0.00703,                0.00703,                0.00703
                     32,                 1.4365,                 1.1964,                 1.3296,                0.60453,                0.42424,                0.43852,                0.20741,                 1.8567,                 1.8424,                 1.9269,               0.006931,               0.006931,               0.006931
