                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7572,                 2.7617,                 1.6941,                0.42162,                0.42478,                0.37353,                0.18663,                 1.6578,                 2.3787,                 1.6743,               0.070319,              0.0032979,              0.0032979
                      1,                 1.6057,                 1.9482,                  1.542,                0.52969,                0.44942,                0.43139,                0.22952,                 1.6238,                 1.9992,                 1.5672,               0.040253,              0.0065656,              0.0065656
                      2,                 1.5746,                   1.82,                 1.4811,                0.43176,                0.47912,                0.41292,                0.22223,                 1.6581,                 1.9369,                 1.5798,               0.010122,              0.0097672,              0.0097672
                      3,                 1.6074,                 1.7976,                  1.503,                0.51307,                0.46237,                0.43978,                0.23941,                 1.6548,                 1.8359,                 1.5858,               0.009703,               0.009703,               0.009703
                      4,                 1.6066,                 1.7466,                 1.4879,                 0.5259,                0.45854,                0.44691,                0.24772,                 1.6531,                 1.8492,                 1.5543,               0.009703,               0.009703,               0.009703
                      5,                 1.5602,                 1.6514,                 1.4663,                0.48441,                 0.4281,                 0.4199,                0.23518,                 1.7021,                 1.8076,                 1.5987,               0.009604,               0.009604,               0.009604
                      6,                 1.5616,                 1.6324,                 1.4522,                0.50104,                0.46194,                0.42923,                0.23295,                 1.6866,                 1.8897,                 1.5658,               0.009505,               0.009505,               0.009505
                      7,                 1.5287,                 1.5972,                 1.4358,                0.51939,                0.44952,                 0.4538,                0.25207,                  1.686,                 1.7347,                 1.5751,               0.009406,               0.009406,               0.009406
                      8,                 1.5377,                 1.5776,                 1.4262,                0.51678,                0.45824,                0.44229,                 0.2509,                 1.6212,                  1.785,                 1.5367,               0.009307,               0.009307,               0.009307
                      9,                  1.511,                 1.5623,                  1.433,                0.54864,                0.47254,                0.45755,                0.25911,                 1.5988,                 1.6464,                  1.511,               0.009208,               0.009208,               0.009208
                     10,                 1.5062,                 1.5235,                 1.4077,                0.55189,                0.49642,                0.47913,                0.27192,                 1.5931,                 1.6331,                 1.4974,               0.009109,               0.009109,               0.009109
                     11,                 1.5234,                 1.5319,                 1.4258,                 0.4932,                0.48662,                0.45359,                0.25852,                 1.6164,                 1.6179,                  1.487,                0.00901,                0.00901,                0.00901
                     12,                 1.4858,                 1.4777,                 1.3847,                0.51702,                0.48262,                 0.4598,                0.26882,                 1.5708,                 1.6156,                 1.4813,               0.008911,               0.008911,               0.008911
                     13,                 1.4773,                 1.4777,                 1.3877,                0.52555,                0.50727,                0.48084,                0.27483,                 1.5583,                 1.5732,                 1.4514,               0.008812,               0.008812,               0.008812
                     14,                 1.4621,                 1.4523,                 1.3819,                0.60059,                0.45915,                0.48381,                0.27811,                 1.5811,                  1.591,                 1.4826,               0.008713,               0.008713,               0.008713
                     15,                   1.46,                 1.4195,                 1.3761,                0.49441,                0.49207,                0.46314,                0.25992,                 1.5947,                 1.5815,                 1.4953,               0.008614,               0.008614,               0.008614
                     16,                 1.4283,                 1.3982,                 1.3625,                0.51521,                0.49425,                0.46598,                0.26814,                 1.5914,                 1.6539,                  1.494,               0.008515,               0.008515,               0.008515
                     17,                 1.4294,                 1.4001,                 1.3652,                0.53402,                0.49649,                0.47934,                0.27662,                 1.5764,                 1.5892,                 1.4756,               0.008416,               0.008416,               0.008416
                     18,                 1.4412,                 1.3854,                 1.3681,                0.56058,                0.49117,                0.48615,                0.28029,                 1.5872,                 1.5693,                 1.4778,               0.008317,               0.008317,               0.008317
                     19,                 1.4072,                 1.3638,                 1.3451,                0.57101,                0.49765,                0.50833,                0.28988,                 1.5561,                 1.4942,                 1.4849,               0.008218,               0.008218,               0.008218
                     20,                 1.3865,                   1.33,                  1.327,                 0.5494,                0.51211,                  0.487,                0.28389,                 1.5798,                 1.5714,                 1.4803,               0.008119,               0.008119,               0.008119
                     21,                 1.3785,                 1.3279,                 1.3324,                0.58024,                 0.4814,                0.48837,                0.27569,                 1.5913,                 1.5957,                 1.4769,                0.00802,                0.00802,                0.00802
                     22,                 1.3842,                  1.321,                  1.344,                0.56143,                0.51673,                0.50083,                0.29098,                 1.5346,                 1.5171,                 1.4541,               0.007921,               0.007921,               0.007921
                     23,                 1.3902,                 1.3028,                 1.3248,                0.61279,                0.50404,                0.51011,                0.29917,                 1.5359,                 1.4859,                 1.4494,               0.007822,               0.007822,               0.007822
                     24,                 1.4128,                 1.3093,                 1.3418,                0.53778,                0.51016,                0.49098,                0.28144,                 1.5714,                 1.5544,                 1.4809,               0.007723,               0.007723,               0.007723
                     25,                  1.363,                 1.2495,                 1.3096,                 0.5694,                 0.4938,                0.48834,                0.28359,                 1.5598,                 1.5453,                 1.4566,               0.007624,               0.007624,               0.007624
                     26,                 1.3605,                 1.2581,                 1.3162,                0.58682,                 0.4894,                0.50291,                0.28966,                 1.5331,                 1.5371,                 1.4491,               0.007525,               0.007525,               0.007525
